"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"002241.SZ","2241.0","歌尔声学","20080514.0","20080522","3000.0","2400.0","18.78","29.98","2400.0","5.634","0.18"
"002242.SZ","2242.0","九阳股份","20080516.0","20080528","6700.0","5360.0","22.54","23.0","5360.0","15.1018","0.1"
"002243.SZ","2243.0","通产丽星","20080516.0","20080528","4050.0","3240.0","7.78","28.81","3240.0","3.1509","0.09"
"002244.SZ","2244.0","滨江集团","20080519.0","20080529","6000.0","4800.0","20.31","23.95","4800.0","12.186","0.24"
"002245.SZ","2245.0","澳洋顺昌","20080526.0","20080605","1520.0","1216.0","16.38","28.24","1216.0","2.4898","0.04"
"002246.SZ","2246.0","北化股份","20080527.0","20080605","4950.0","3960.0","6.95","29.96","3960.0","3.4403","0.04"
"002247.SZ","2247.0","帝龙新材","20080528.0","20080612","1680.0","1344.0","16.05","29.18","1344.0","2.6964","0.05"
"002248.SZ","2248.0","华东数控","20080603.0","20080612","3000.0","2400.0","9.8","29.17","2400.0","2.94","0.03"
"002249.SZ","2249.0","大洋电机","20080605.0","20080619","3200.0","2560.0","25.6","22.86","2560.0","8.192","0.12"
"002250.SZ","2250.0","联化科技","20080605.0","20080619","3230.0","2584.0","10.52","23.38","2584.0","3.398","0.11"
"002251.SZ","2251.0","步步高","20080606.0","20080619","3500.0","2800.0","26.08","29.98","2800.0","9.128","0.09"
"002252.SZ","2252.0","上海莱士","20080611.0","20080623","4000.0","3200.0","12.81","25.12","3200.0","5.124","0.06"
"002253.SZ","2253.0","川大智胜","20080611.0","20080623","1300.0","1040.0","14.75","29.32","1040.0","1.9175","0.11"
"002254.SZ","2254.0","烟台氨纶","20080616.0","20080625","3200.0","2560.0","18.59","6.67","2560.0","5.9488","0.08"
"002255.SZ","2255.0","海陆重工","20080616.0","20080625","2770.0","2216.0","10.46","22.49","2216.0","2.8974","0.04"
"002256.SZ","2256.0","彩虹精化","20080616.0","20080625","2200.0","1760.0","12.56","29.21","1760.0","2.7632","0.11"
"002258.SZ","2258.0","利尔化学","20080626.0","20080708","3400.0","2720.0","16.06","21.13","2720.0","5.4604","0.1"
"002259.SZ","2259.0","升达林业","20080707.0","20080716","5500.0","4400.0","4.56","27.64","4400.0","2.508","0.04"
"002260.SZ","2260.0","伊立浦","20080707.0","20080716","3000.0","2400.0","6.66","19.59","2400.0","1.998","0.04"
"002261.SZ","2261.0","拓维信息","20080714.0","20080723","2000.0","1600.0","15.37","19.81","1600.0","3.074","0.04"
"002262.SZ","2262.0","恩华药业","20080714.0","20080723","3000.0","2400.0","5.68","29.89","2400.0","1.704","0.03"
"002263.SZ","2263.0","大东南","20080718.0","20080728","6400.0","5120.0","5.28","24.55","5120.0","3.3792","0.06"
"002264.SZ","2264.0","新华都","20080721.0","20080731","2680.0","2144.0","12.0","27.91","2144.0","3.216","0.04"
"002265.SZ","2265.0","西仪股份","20080725.0","20080806","7300.0","5840.0","2.88","26.18","5840.0","2.1024","0.04"
"002266.SZ","2266.0","浙富股份","20080725.0","20080806","3580.0","2864.0","14.29","28.16","2864.0","5.1158","0.07"
"002267.SZ","2267.0","陕天然气","20080731.0","20080813","10000.0","8000.0","10.59","21.21","8000.0","10.59","0.1"
"002268.SZ","2268.0","卫士通","20080730.0","20080811","1700.0","1360.0","12.12","24.24","1360.0","2.0604","0.05"
"002269.SZ","2269.0","美邦服饰","20080814.0","20080828","7000.0","5600.0","19.76","22.74","5600.0","13.832","0.1"
"002270.SZ","2270.0","法因数控","20080826.0","20080905","3650.0","2920.0","8.7","24.17","2920.0","3.1755","0.03"
"002271.SZ","2271.0","东方雨虹","20080901.0","20080910","1320.0","1056.0","17.33","25.44","1056.0","2.2876","0.03"
"002272.SZ","2272.0","川润股份","20080908.0","20080919","2300.0","1840.0","10.44","24.28","1840.0","2.4012","0.07"
"002273.SZ","2273.0","水晶光电","20080905.0","20080919","1670.0","1336.0","15.29","23.63","1336.0","2.5534","0.04"
"002274.SZ","2274.0","华昌化工","20080916.0","20080925","5100.0","4080.0","10.01","12.36","4080.0","5.1051","0.08"
"002275.SZ","2275.0","桂林三金","20090629.0","20090710","4600.0","3680.0","19.8","32.89","3.0","9.108","0.17"
"002276.SZ","2276.0","万马电缆","20090702.0","20090710","5000.0","4000.0","11.5","30.88","4.0","5.75","0.13"
"002277.SZ","2277.0","家润多","20090708.0","20090717","5000.0","4000.0","19.58","31.58","4.0","9.79","0.25"
"002278.SZ","2278.0","神开股份","20090728.0","20090811","4600.0","3680.0","15.96","32.57","3.0","7.3416","0.12"
"002279.SZ","2279.0","久其软件","20090731.0","20090811","1530.0","1224.0","27.0","36.14","0.5","4.131","0.17"
"002280.SZ","2280.0","新世纪","20090810.0","20090821","1350.0","1080.0","22.8","34.03","0.5","3.078","0.24"
"002281.SZ","2281.0","光迅科技","20090810.0","20090821","4000.0","3200.0","16.0","35.37","3.0","6.4","0.14"
"002282.SZ","2282.0","博深工具","20090812.0","20090821","4340.0","3472.0","11.5","38.33","3.0","4.991","0.27"
"002283.SZ","2283.0","天润曲轴","20090812.0","20090821","6000.0","4800.0","14.0","33.33","4.0","8.4","0.3"
"002284.SZ","2284.0","亚太股份","20090817.0","20090828","2400.0","1920.0","18.8","46.53","1.0","4.512","0.23"
"002285.SZ","2285.0","世联地产","20090817.0","20090828","3200.0","2560.0","19.68","37.85","2.0","6.2976","0.2"
"002286.SZ","2286.0","保龄宝","20090819.0","20090828","2000.0","1600.0","20.56","39.54","1.0","4.112","0.39"
"002287.SZ","2287.0","奇正藏药","20090819.0","20090828","4100.0","3280.0","11.81","35.79","3.0","4.8421","0.17"
"002288.SZ","2288.0","超华科技","20090824.0","20090903","2200.0","1760.0","12.1","34.57","1.0","2.662","0.14"
"002289.SZ","2289.0","宇顺电子","20090824.0","20090903","1850.0","1480.0","15.88","33.79","1.0","2.9378","0.16"
"002290.SZ","2290.0","禾盛新材","20090826.0","20090903","2100.0","1680.0","27.8","36.39","1.0","5.838","0.39"
"002291.SZ","2291.0","星期六","20090826.0","20090903","5500.0","4400.0","18.0","37.89","4.0","9.9","0.29"
"002292.SZ","2292.0","奥飞动漫","20090831.0","20090910","4000.0","3200.0","22.92","58.26","3.0","9.168","0.2"
"002293.SZ","2293.0","罗莱家纺","20090902.0","20090910","3510.0","2808.0","27.16","34.64","2.0","9.5332","0.47"
"002294.SZ","2294.0","信立泰","20090902.0","20090910","2850.0","2280.0","41.98","41.77","2.0","11.9643","0.66"
"002295.SZ","2295.0","精艺股份","20090915.0","20090929","3600.0","2880.0","13.0","39.39","2.0","4.68","0.14"
"002296.SZ","2296.0","辉煌科技","20090915.0","20090929","1550.0","1240.0","25.0","35.71","1.0","3.875","0.14"
"002297.SZ","2297.0","博云新材","20090918.0","20090929","2700.0","2160.0","10.8","49.09","2.0","2.916","0.1"
"002298.SZ","2298.0","鑫龙电器","20090918.0","20090929","2800.0","2240.0","9.5","38.1","2.0","2.66","0.1"
"002299.SZ","2299.0","圣农发展","20091009.0","20091021","4100.0","3280.0","19.75","44.89","3.0","8.0975","0.25"
"002300.SZ","2300.0","太阳电缆","20091009.0","20091021","3400.0","2720.0","20.56","51.4","2.0","6.9904","0.28"
"002301.SZ","2301.0","齐心文具","20091012.0","20091021","3120.0","2496.0","20.0","47.62","2.0","6.24","0.4"
"002302.SZ","2302.0","西部建设","20091020.0","20091103","3500.0","2800.0","15.0","32.61","2.0","5.25","0.15"
"002303.SZ","2303.0","美盈森","20091020.0","20091103","4500.0","3600.0","25.36","45.29","3.0","11.412","0.25"
"002304.SZ","2304.0","洋河股份","20091027.0","20091106","4500.0","3600.0","60.0","36.36","1.0","27.0","0.69"
"002305.SZ","2305.0","南国置业","20091027.0","20091106","4800.0","3840.0","12.3","36.18","3.0","5.904","0.16"
"002306.SZ","2306.0","湘鄂情","20091103.0","20091111","5000.0","4000.0","18.9","60.97","4.0","9.45","0.18"
"002307.SZ","2307.0","北新路桥","20091103.0","20091111","4750.0","3800.0","8.58","40.11","3.0","4.0755","0.14"
"002308.SZ","2308.0","威创股份","20091116.0","20091127","5345.0","4276.0","23.8","46.34","4.0","12.7211","0.27"
"002309.SZ","2309.0","中利科技","20091116.0","20091127","3350.0","2680.0","46.0","41.07","2.0","15.41","0.45"
"002310.SZ","2310.0","东方园林","20091118.0","20091127","1450.0","1160.0","58.6","50.96","1.0","8.497","0.8"
"002311.SZ","2311.0","海大集团","20091118.0","20091127","5600.0","4480.0","28.0","48.39","4.0","15.68","0.72"
"002312.SZ","2312.0","三泰电子","20091124.0","20091203","1500.0","1200.0","28.6","47.67","1.0","4.29","0.21"
"002313.SZ","2313.0","日海通讯","20091124.0","20091203","2500.0","2000.0","24.8","74.22","2.0","6.2","0.25"
"002314.SZ","2314.0","雅致股份","20091124.0","20091203","7364.1","5894.1","16.82","31.74","4.0","12.3864","0.3"
"002315.SZ","2315.0","焦点科技","20091127.0","20091209","2938.0","2350.4","42.0","66.67","2.0","12.3396","0.39"
"002316.SZ","2316.0","键桥通讯","20091127.0","20091209","3000.0","2400.0","18.8","60.65","2.0","5.64","0.2"
"002317.SZ","2317.0","众生药业","20091201.0","20091211","2000.0","1600.0","55.0","63.44","1.6","11.0","0.62"
"002318.SZ","2318.0","久立特材","20091201.0","20091211","4000.0","3200.0","23.0","46.0","3.0","9.2","0.45"
"002319.SZ","2319.0","乐通股份","20091201.0","20091211","2500.0","2000.0","13.7","48.75","2.0","3.425","0.28"
"002320.SZ","2320.0","海峡股份","20091207.0","20091216","3950.0","3160.0","33.6","47.32","3.0","13.272","0.56"
"002321.SZ","2321.0","华英农业","20091207.0","20091216","3700.0","2960.0","16.98","58.55","2.0","6.2826","0.37"
"002322.SZ","2322.0","理工监测","20091209.0","20091218","1670.0","1336.0","40.0","59.85","1.3","6.68","1.03"
"002323.SZ","2323.0","中联电气","20091209.0","20091218","2100.0","1680.0","30.0","43.62","1.5","6.3","0.82"
"002324.SZ","2324.0","普利特","20091209.0","20091218","3500.0","2800.0","22.5","86.54","2.0","7.875","1.2"
"002325.SZ","2325.0","洪涛股份","20091211.0","20091222","3000.0","2400.0","27.0","65.85","2.0","8.1","0.39"
"002326.SZ","2326.0","永太科技","20091211.0","20091222","3350.0","2680.0","20.0","64.52","2.65","6.7","0.25"
"002327.SZ","2327.0","富安娜","20091218.0","20091230","2600.0","2080.0","30.0","46.88","2.0","7.8","0.66"
"002328.SZ","2328.0","新朋股份","20091218.0","20091230","7500.0","6000.0","19.38","51.0","6.0","14.535","0.83"
"002329.SZ","2329.0","皇氏乳业","20091223.0","20100106","2700.0","2160.0","20.1","67.0","2.0","5.427","0.51"
"002330.SZ","2330.0","得利斯","20091223.0","20100106","6300.0","5040.0","13.18","50.69","5.0","8.3034","0.41"
"002331.SZ","2331.0","皖通科技","20091223.0","20100106","1400.0","1120.0","27.0","58.52","1.0","3.78","0.36"
